return_id,order_id,seller_id,return_date,return_reason,refund_amount,return_status
R0004243,O0041514,S0058,2025-04-25,Damaged on arrival,58.75,Completed
R0002681,O0028634,S0040,2024-04-11,Counterfeit suspected,54.08,Completed
R0002483,O0027083,S0037,2024-08-22,Quality below expectation,68.34,Complete
R0004001,O0039212,S0055,2024-01-15,Changed my mind,27.16,Completed
R0004412,O0042619,S0060,2024-04-30,Size/fit issue,88.43,Completed
R0001340,O0015861,S0022,2025-10-09,Missing parts/accessories,130.29,Rejected
R0002933,O0030302,S0042,2025-08-20,Size/fit issue,37.61,Completed
R0003212,O0033519,S0047,2024-08-01,Late delivery,103.62,Completed
R0002979,O0031073,S0044,2024-09-16,Item not as described,60.01,Completed
R0001714,O0018860,S0027,2024-05-15,Unknown,36.58,Complete
R0004428,O0042834,S0060,2025-01-11,Changed my mind,26.38,Completed
R0003424,O0034996,S0049,2025-02-28,Quality below expectation,37.96,Completed
R0001556,O0017918,S0025,2025-04-16,Item not as described,38.63,Completed
R0001831,O0020712,S0029,2024-03-31,Quality below expectation,51.46,Completed
R0003624,O0036118,S0051,2024-05-05,Changed my mind,49.64,Complete
R0002784,O0029095,S0040,2025-10-05,Changed my mind,73.43,Completed
R0001382,O0016480,S0023,2025-02-19,Size/fit issue,69.55,Pending
R0000098,O0001443,S0003,2024-11-17,Missing parts/accessories,25.93,Pending
R0001129,O0013745,S0019,2025-11-05,Changed my mind,88.87,Completed
R0003797,O0038446,S0054,2024-06-02,Missing parts/accessories,21.91,Completed
R0000587,O0006242,S0010,2025-05-22,Better price found elsewhere,63.51,Completed
R0002204,O0024746,S0034,2024-12-05,Changed my mind,25.8,Completed
R0003103,O0032296,S0045,2025-10-16,Late delivery,44.05,Completed
R0001627,O0018205,S0025,2025-12-09,Wrong item shipped,24.04,Completed
R0002391,O0026090,S0036,2024-06-28,Changed my mind,60.16,Completed
R0004082,O0040511,S0057,2025-01-25,Missing parts/accessories,34.97,Completed
R0004210,O0041244,S0058,2024-10-06,Changed my mind,79.68,Completed
R0002243,O0024974,S0034,2025-06-22,Damaged on arrival,58.23,Completed
R0003597,O0035962,S0050,2025-12-03,Item not as described,39.81,Completed
R0001927,O0021693,S0030,2024-08-24,Late delivery,55.32,Completed
R0002983,O0031166,S0044,2025-02-13,Wrong item shipped,39.6,Completed
R0001794,O0020135,S0028,2025-03-12,Wrong item shipped,37.92,Complete
R0001320,O0015533,S0022,2025-02-08,Wrong item shipped,29.27,Completed
R0004128,O0040763,S0057,2025-09-07,Wrong item shipped,44.17,Pending
R0001866,O0020907,S0029,2024-09-21,Late delivery,13.52,Completed
R0000981,O0012146,S0017,2025-08-31,Changed my mind,29.98,Completed
R0003795,O0038435,S0054,2024-05-07,Counterfeit suspected,81.44,Complete
R0001547,O0017867,S0025,2025-02-22,Damaged on arrival,13.77,Completed
R0001405,O0016772,S0023,2025-09-23,Size/fit issue,26.59,Completed
R0001355,O0015927,S0022,2025-11-21,Size/fit issue,18.44,Pending
R0002836,O0029339,S0041,2024-11-19,Size/fit issue,41.56,Completed
R0001608,O0018134,S0025,2025-10-20,Quality below expectation,40.64,Completed
R0002419,O0026238,S0036,2024-10-09,Wrong item shipped,25.49,Completed
R0002124,O0024059,S0033,2025-01-22,Quality below expectation,22.06,Pending
R0002159,O0024381,S0033,2025-12-14,Late delivery,47.77,Complete
R0002888,O0030029,S0042,2024-12-26,Changed my mind,87.64,Completed
R0003633,O0036157,S0051,2024-06-19,Damaged on arrival,28.64,Complete
R0001035,O0012602,S0018,2025-02-27,Missing parts/accessories,25.55,Completed
R0003324,O0034646,S0049,2024-04-17,Item not as described,41.85,Complete
R0000999,O0012268,S0017,2025-12-21,Damaged on arrival,25.13,Completed
R0003146,O0032596,S0046,2024-05-01,Changed my mind,18.41,Completed
R0000712,O0008291,S0012,2025-08-05,Unknown,61.72,Pending
R0002542,O0027617,S0038,2024-04-19,Size/fit issue,48.61,Completed
R0001652,O0018367,S0026,2024-08-06,Missing parts/accessories,44.94,Completed
R0000728,O0008531,S0013,2024-04-26,Late delivery,41.57,Complete
R0001268,O0015108,S0022,2024-03-28,Damaged on arrival,55.46,Pending
R0001304,O0015384,S0022,2024-10-08,Quality below expectation,49.95,Rejected
R0003580,O0035892,S0050,2025-09-09,Wrong item shipped,38.35,Completed
R0001860,O0020880,S0029,2024-09-19,Quality below expectation,127.88,Completed
R0003288,O0034427,S0048,2025-07-31,Wrong item shipped,15.38,Completed
R0001339,O0015853,S0022,2025-10-12,Missing parts/accessories,80.05,Completed
R0001095,O0013183,S0019,2024-08-18,Changed my mind,32.46,Complete
R0000570,O0006136,S0010,2025-03-01,Missing parts/accessories,50.51,Completed
R0002530,O0027496,S0037,2025-12-07,Quality below expectation,43.27,Completed
R0000252,O0003005,S0005,2025-03-16,Quality below expectation,42.0,Completed
R0003847,O0038598,S0054,2024-09-07,Item not as described,29.62,Complete
R0002002,O0022780,S0031,2025-10-07,Item not as described,88.19,Pending
R0001403,O0016763,S0023,2025-09-29,Size/fit issue,23.57,Completed
R0000773,O0009043,S0014,2024-05-22,Damaged on arrival,102.88,Completed
R0000799,O0009285,S0014,2024-12-22,Size/fit issue,24.91,Completed
R0001416,O0016838,S0023,2025-12-01,Quality below expectation,23.47,Pending
R0002754,O0028933,S0040,2025-03-18,Quality below expectation,103.62,Completed
R0002812,O0029179,S0040,2026-01-11,Unknown,54.15,Completed
R0004055,O0040200,S0057,2024-03-18,Late delivery,49.76,Completed
R0003275,O0034366,S0048,2025-07-11,Changed my mind,91.13,Rejected
R0000022,O0000461,S0001,2025-12-17,Missing parts/accessories,19.93,Completed
R0002103,O0023871,S0033,2024-07-16,Better price found elsewhere,81.84,Completed
R0003561,O0035783,S0050,2025-04-21,Better price found elsewhere,48.59,Completed
R0000350,O0004179,S0006,2025-12-03,Quality below expectation,57.14,Complete
R0002735,O0028864,S0040,2024-12-18,Wrong item shipped,57.88,Complete
R0003409,O0034958,S0049,2025-01-22,Quality below expectation,86.16,Complete
R0003123,O0032502,S0046,2024-03-13,Size/fit issue,59.06,Complete
R0001233,O0014934,S0021,2025-09-25,Damaged on arrival,40.13,Completed
R0002976,O0031045,S0044,2024-07-11,Missing parts/accessories,76.05,Completed
R0001914,O0021565,S0030,2024-05-22,Changed my mind,58.54,Completed
R0002003,O0022793,S0031,2025-11-21,Wrong item shipped,43.66,Pending
R0000935,O0011497,S0017,2024-03-31,Late delivery,31.14,Completed
R0000097,O0001436,S0003,2024-10-27,Changed my mind,48.91,Rejected
R0001347,O0015892,S0022,2025-11-10,Wrong item shipped,19.45,Rejected
R0001589,O0018041,S0025,2025-07-29,Item not as described,44.74,Completed
R0001973,O0022300,S0030,2025-12-30,Changed my mind,44.69,Completed
R0003466,O0035161,S0049,2025-08-15,Damaged on arrival,37.37,Completed
R0000482,O0005616,S0010,2024-02-10,Damaged on arrival,32.62,Rejected
R0001309,O0015408,S0022,2024-11-13,Counterfeit suspected,56.43,Completed
R0000087,O0001357,S0003,2024-08-22,Changed my mind,46.27,Pending
R0003471,O0035176,S0049,2025-10-04,Item not as described,23.87,Completed
R0004298,O0041969,S0059,2024-04-25,Size/fit issue,33.78,Completed
R0001007,O0012397,S0018,2024-05-25,Changed my mind,39.19,Completed
R0000654,O0007092,S0011,2025-02-23,Counterfeit suspected,94.24,Pending
R0001315,O0015433,S0022,2024-11-08,Size/fit issue,70.84,Completed
R0002207,O0024769,S0034,2024-12-28,Late delivery,56.67,Completed
R0001069,O0012989,S0019,2024-04-14,Size/fit issue,76.84,Completed
R0003965,O0039090,S0054,2025-10-20,Item not as described,84.95,Rejected
R0002325,O0025515,S0035,2024-12-13,Late delivery,11.24,Completed
R0003617,O0036088,S0051,2024-04-02,Counterfeit suspected,24.51,Completed
R0001238,O0014952,S0021,2025-10-14,Damaged on arrival,11.17,Completed
R0003116,O0032434,S0045,2026-01-12,Damaged on arrival,41.94,Completed
R0002705,O0028727,S0040,2024-06-25,Size/fit issue,37.32,Completed
R0001102,O0013233,S0019,2024-10-14,Size/fit issue,18.69,Completed
R0004359,O0042412,S0059,2025-08-28,Unknown,48.78,Rejected
R0000676,O0007525,S0012,2024-01-12,Missing parts/accessories,66.32,Pending
R0003778,O0038370,S0054,2024-04-03,Quality below expectation,72.15,Completed
R0001478,O0017528,S0025,2024-04-22,Quality below expectation,69.06,Completed
R0001566,O0017959,S0025,2025-06-16,Better price found elsewhere,34.49,Completed
R0000246,O0002909,S0005,2024-12-24,Missing parts/accessories,38.25,Complete
R0004123,O0040730,S0057,2025-08-04,Item not as described,49.25,Completed
R0003167,O0032749,S0046,2024-08-15,Counterfeit suspected,20.8,Completed
R0000198,O0002180,S0004,2024-08-11,Item not as described,62.05,Pending
R0003503,O0035303,S0049,2025-12-11,Missing parts/accessories,41.99,Completed
R0001327,O0015611,S0022,2025-04-03,Item not as described,19.41,Completed
R0000652,O0007053,S0011,2025-01-31,Wrong item shipped,36.28,Completed
R0001172,O0014505,S0021,2024-03-13,Changed my mind,9.27,Completed
R0000486,O0005626,S0010,2024-02-15,Item not as described,65.13,Completed
R0002175,O0024534,S0034,2024-04-26,Damaged on arrival,68.19,Completed
R0002782,O0029086,S0040,2025-09-19,Counterfeit suspected,28.09,Completed
R0000869,O0010582,S0016,2024-03-30,Changed my mind,18.31,Completed
R0003343,O0034715,S0049,2024-07-11,Quality below expectation,44.03,Completed
R0002881,O0029995,S0042,2024-12-06,Late delivery,58.18,Completed
R0002875,O0029937,S0042,2024-10-30,Quality below expectation,30.28,Completed
R0003819,O0038499,S0054,2024-06-09,Quality below expectation,77.81,Complete
R0000499,O0005699,S0010,2024-04-08,Missing parts/accessories,38.09,Completed
R0001108,O0013283,S0019,2024-12-12,Item not as described,50.7,Complete
R0002293,O0025177,S0034,2026-01-03,Item not as described,84.07,Completed
R0000704,O0008130,S0012,2025-05-06,Size/fit issue,40.81,Complete
R0001969,O0022289,S0030,2026-01-05,Missing parts/accessories,36.06,Completed
R0003192,O0033105,S0046,2025-05-12,Item not as described,96.55,Pending
R0003347,O0034736,S0049,2024-07-03,Damaged on arrival,41.79,Pending
R0003044,O0031818,S0045,2024-10-22,Wrong item shipped,35.12,Complete
R0004273,O0041666,S0058,2025-08-14,Size/fit issue,98.99,Completed
R0002793,O0029133,S0040,2025-11-22,Quality below expectation,38.02,Completed
R0003519,O0035438,S0050,2024-05-25,Counterfeit suspected,48.3,Completed
R0001514,O0017711,S0025,2024-09-26,Size/fit issue,41.24,Completed
R0002058,O0023443,S0032,2025-06-08,Better price found elsewhere,39.5,Completed
R0003201,O0033311,S0046,2025-11-19,Quality below expectation,10.72,Completed
R0000231,O0002588,S0004,2026-01-02,Late delivery,52.1,Completed
R0004091,O0040579,S0057,2025-02-08,Wrong item shipped,26.67,Complete
R0002723,O0028806,S0040,2024-09-19,Counterfeit suspected,47.35,Rejected
R0003236,O0033878,S0047,2025-10-26,Wrong item shipped,36.76,Completed
R0004337,O0042319,S0059,2025-05-15,Counterfeit suspected,57.37,Completed
R0000301,O0003766,S0006,2024-12-21,Changed my mind,70.56,Completed
R0001194,O0014704,S0021,2024-10-31,Counterfeit suspected,40.52,Complete
R0001682,O0018605,S0026,2025-07-03,Damaged on arrival,32.27,Rejected
R0001759,O0019345,S0027,2025-08-23,Better price found elsewhere,80.14,Complete
R0002940,O0030412,S0042,2025-12-01,Item not as described,35.17,Completed
R0003151,O0032635,S0046,2024-05-28,Size/fit issue,30.15,Completed
R0003208,O0033403,S0047,2024-02-01,Changed my mind,9.98,Complete
R0003601,O0035978,S0050,2025-12-15,Unknown,79.23,Completed
R0000125,O0001558,S0003,2025-01-17,Changed my mind,38.85,Completed
R0003754,O0038151,S0053,2025-07-14,Wrong item shipped,36.98,Complete
R0000913,O0011313,S0016,2025-11-11,Changed my mind,47.96,Completed
R0003230,O0033817,S0047,2025-08-29,Damaged on arrival,25.42,Completed
R0000368,O0004337,S0007,2024-10-02,Late delivery,35.0,Completed
R0000056,O0001101,S0003,2024-02-04,Better price found elsewhere,53.14,Completed
R0001275,O0015169,S0022,2024-04-21,Size/fit issue,39.0,Rejected
R0001757,O0019336,S0027,2025-08-03,Better price found elsewhere,43.0,Complete
R0002026,O0023090,S0032,2024-08-25,Counterfeit suspected,10.29,Pending
R0004376,O0042473,S0059,2025-10-23,Wrong item shipped,26.56,Pending
R0004377,O0042477,S0059,2025-10-20,Unknown,33.3,Completed
R0000213,O0002502,S0004,2025-09-25,Unknown,46.82,Completed
R0003050,O0031838,S0045,2024-10-22,Damaged on arrival,28.96,Pending
R0000484,O0005620,S0010,2024-03-09,Changed my mind,38.2,Completed
R0003828,O0038539,S0054,2024-08-02,Counterfeit suspected,42.06,Rejected
R0003441,O0035076,S0049,2025-05-08,Damaged on arrival,22.62,Complete
R0002440,O0026470,S0036,2025-03-05,Damaged on arrival,69.0,Pending
R0000031,O0000546,S0002,2024-03-31,Quality below expectation,37.09,Completed
R0003223,O0033786,S0047,2025-07-18,Item not as described,37.5,Completed
R0002758,O0028950,S0040,2025-03-20,Changed my mind,80.05,Pending
R0004096,O0040608,S0057,2025-04-03,Changed my mind,64.41,Completed
R0004341,O0042336,S0059,2025-06-23,Unknown,77.62,Pending
R0002314,O0025319,S0035,2024-06-07,Damaged on arrival,31.34,Completed
R0003152,O0032638,S0046,2024-05-26,Size/fit issue,80.42,Completed
R0001261,O0015033,S0022,2024-01-06,Missing parts/accessories,129.87,Complete
R0001449,O0017198,S0024,2025-02-11,Wrong item shipped,31.06,Complete
R0001781,O0019838,S0028,2024-09-09,Size/fit issue,47.65,Completed
R0003448,O0035091,S0049,2025-07-06,Wrong item shipped,14.73,Completed
R0000662,O0007196,S0011,2025-05-08,Size/fit issue,58.33,Pending
R0000559,O0006023,S0010,2025-01-08,Item not as described,27.61,Completed
R0002985,O0031203,S0044,2025-03-22,Wrong item shipped,63.66,Rejected
R0000679,O0007558,S0012,2024-03-07,Changed my mind,39.67,Pending
R0000832,O0009921,S0015,2024-07-22,Late delivery,65.73,Complete
R0002541,O0027613,S0038,2024-03-16,Changed my mind,41.91,Rejected
R0001255,O0015007,S0022,2024-02-03,Size/fit issue,46.65,Completed
R0002220,O0024838,S0034,2025-03-02,Better price found elsewhere,38.86,Completed
R0001115,O0013364,S0019,2025-02-01,Better price found elsewhere,53.99,Pending
R0003892,O0038768,S0054,2025-03-08,Item not as described,23.09,Completed
R0003876,O0038717,S0054,2024-12-26,Better price found elsewhere,81.49,Complete
R0002053,O0023419,S0032,2025-05-30,Changed my mind,62.57,Completed
R0001611,O0018146,S0025,2025-10-16,Counterfeit suspected,33.24,Completed
R0000617,O0006441,S0010,2025-11-17,Late delivery,50.02,Complete
R0000357,O0004272,S0007,2024-05-26,Missing parts/accessories,22.77,Pending
R0004420,O0042679,S0060,2024-08-02,Counterfeit suspected,35.21,Complete
R0001984,O0022515,S0031,2024-09-21,Wrong item shipped,49.78,Complete
R0002396,O0026108,S0036,2024-06-25,Missing parts/accessories,38.74,Rejected
R0003850,O0038609,S0054,2024-09-28,Item not as described,26.05,Completed
R0003097,O0032263,S0045,2025-08-27,Size/fit issue,125.12,Completed
R0001500,O0017613,S0025,2024-07-12,Late delivery,79.45,Pending
R0002007,O0022848,S0032,2024-01-19,Changed my mind,31.53,Rejected
R0001246,O0014977,S0021,2025-12-07,Wrong item shipped,14.56,Complete
R0002112,O0024003,S0033,2024-12-18,Counterfeit suspected,42.18,Pending
R0001076,O0013038,S0019,2024-06-06,Quality below expectation,32.16,Completed
R0004290,O0041884,S0059,2024-02-07,Quality below expectation,26.35,Completed
R0002430,O0026324,S0036,2024-11-15,Changed my mind,25.14,Completed
R0003838,O0038571,S0054,2024-08-30,Damaged on arrival,55.74,Completed
R0003365,O0034795,S0049,2024-09-03,Quality below expectation,144.68,Complete
R0003727,O0037601,S0052,2025-06-27,Better price found elsewhere,57.2,Pending
R0003379,O0034839,S0049,2024-10-21,Counterfeit suspected,66.2,Rejected
R0002581,O0028047,S0038,2025-08-07,Item not as described,70.15,Completed
R0002747,O0028905,S0040,2025-03-03,Quality below expectation,26.43,Complete
R0004252,O0041591,S0058,2025-06-05,Wrong item shipped,10.64,Completed
R0004398,O0042568,S0060,2024-02-06,Damaged on arrival,49.55,Complete
R0002837,O0029360,S0041,2024-12-28,Size/fit issue,80.64,Pending
R0003615,O0036073,S0051,2024-03-08,Late delivery,30.26,Complete
R0003206,O0033388,S0047,2024-01-27,Damaged on arrival,21.23,Rejected
R0004278,O0041694,S0058,2025-08-25,Counterfeit suspected,29.33,Completed
R0002545,O0027645,S0038,2024-05-29,Late delivery,54.06,Completed
R0000893,O0010971,S0016,2025-02-12,Size/fit issue,42.52,Completed
R0002261,O0025062,S0034,2025-10-08,Quality below expectation,60.41,Completed
R0002136,O0024151,S0033,2025-04-14,Size/fit issue,23.28,Rejected
R0000342,O0004162,S0006,2025-11-24,Changed my mind,56.0,Complete
R0001990,O0022624,S0031,2025-03-28,Better price found elsewhere,48.86,Completed
R0001365,O0015999,S0023,2024-01-24,Better price found elsewhere,109.66,Completed
R0000002,O0000114,S0001,2024-06-19,Better price found elsewhere,38.57,Completed
R0001470,O0017494,S0025,2024-03-11,Wrong item shipped,51.43,Completed
R0001359,O0015937,S0022,2025-12-03,Better price found elsewhere,10.2,Completed
R0001183,O0014597,S0021,2024-06-27,Better price found elsewhere,26.12,Completed
R0003763,O0038274,S0054,2024-02-07,Counterfeit suspected,67.52,Completed
R0001579,O0018008,S0025,2025-06-18,Damaged on arrival,13.67,Rejected
R0001839,O0020783,S0029,2024-06-10,Changed my mind,58.04,Complete
R0003695,O0037155,S0052,2024-08-29,Missing parts/accessories,69.14,Completed
R0003777,O0038364,S0054,2024-03-29,Missing parts/accessories,51.19,Complete
R0001833,O0020743,S0029,2024-04-26,Better price found elsewhere,69.36,Completed
R0000748,O0008881,S0013,2025-11-21,Better price found elsewhere,51.06,Completed
R0001419,O0016850,S0023,2026-01-14,Better price found elsewhere,35.0,Completed
R0003612,O0036043,S0051,2024-03-02,Quality below expectation,24.45,Complete
R0002227,O0024876,S0034,2025-04-05,Item not as described,32.26,Completed
R0000934,O0011492,S0017,2024-03-27,Damaged on arrival,12.91,Complete
R0004348,O0042368,S0059,2025-08-09,Missing parts/accessories,45.53,Completed
R0002968,O0030942,S0044,2024-03-22,Changed my mind,121.96,Completed
R0001861,O0020890,S0029,2024-09-30,Better price found elsewhere,17.19,Pending
R0000874,O0010675,S0016,2024-06-25,Quality below expectation,17.92,Complete
R0001322,O0015547,S0022,2025-02-03,Wrong item shipped,34.84,Completed
R0001991,O0022637,S0031,2025-03-21,Late delivery,32.41,Pending
R0000746,O0008761,S0013,2025-07-07,Better price found elsewhere,34.27,Completed
R0003122,O0032500,S0046,2024-02-11,Item not as described,108.94,Completed
R0001197,O0014714,S0021,2024-12-03,Size/fit issue,41.13,Completed
R0001747,O0019155,S0027,2025-02-05,Missing parts/accessories,51.44,Complete
R0001696,O0018729,S0026,2025-12-10,Quality below expectation,63.77,Completed
R0001336,O0015842,S0022,2025-09-17,Item not as described,11.98,Completed
R0000265,O0003225,S0005,2025-11-11,Late delivery,60.52,Completed
R0000179,O0001854,S0003,2025-09-11,Wrong item shipped,72.25,Completed
R0003577,O0035851,S0050,2025-07-17,Item not as described,17.99,Completed
R0002134,O0024136,S0033,2025-04-25,Changed my mind,44.35,Pending
R0000675,O0007520,S0012,2024-01-20,Better price found elsewhere,45.99,Pending
R0004413,O0042621,S0060,2024-05-03,Item not as described,24.25,Complete
R0001027,O0012496,S0018,2024-09-24,Item not as described,35.18,Complete
R0003759,O0038262,S0054,2024-01-27,Quality below expectation,11.71,Completed
R0000311,O0003902,S0006,2025-04-17,Quality below expectation,84.2,Complete
R0004416,O0042639,S0060,2024-06-02,Quality below expectation,48.42,Rejected
R0003408,O0034956,S0049,2025-02-03,Item not as described,18.86,Completed
R0004266,O0041634,S0058,2025-08-16,Counterfeit suspected,64.03,Completed
R0003325,O0034650,S0049,2024-05-06,Item not as described,44.99,Completed
R0002890,O0030032,S0042,2025-01-20,Late delivery,52.29,Complete
R0001363,O0015942,S0022,2025-11-12,Changed my mind,39.73,Completed
R0003220,O0033749,S0047,2025-04-22,Changed my mind,53.72,Completed
R0004361,O0042417,S0059,2025-09-04,Better price found elsewhere,46.74,Pending
R0004213,O0041278,S0058,2024-10-19,Better price found elsewhere,96.88,Completed
R0003794,O0038432,S0054,2024-05-22,Better price found elsewhere,62.11,Pending
R0001841,O0020794,S0029,2024-06-28,Wrong item shipped,51.48,Completed
R0000226,O0002562,S0004,2025-12-10,Wrong item shipped,82.03,Completed
R0001926,O0021690,S0030,2024-08-22,Changed my mind,30.3,Completed
R0002576,O0027992,S0038,2025-05-15,Size/fit issue,41.07,Completed
R0003523,O0035461,S0050,2024-07-10,Better price found elsewhere,33.26,Completed
R0001961,O0022063,S0030,2025-06-03,Quality below expectation,25.34,Pending
R0004264,O0041631,S0058,2025-07-15,Quality below expectation,52.58,Complete
R0002749,O0028916,S0040,2025-03-11,Late delivery,44.54,Pending
R0003804,O0038467,S0054,2024-05-19,Item not as described,29.79,Completed
R0000448,O0005264,S0009,2024-10-30,Better price found elsewhere,55.89,Completed
R0000831,O0009919,S0015,2024-07-23,Item not as described,96.58,Pending
R0003625,O0036128,S0051,2024-04-15,Size/fit issue,15.27,Completed
R0002318,O0025365,S0035,2024-07-18,Changed my mind,33.78,Completed
R0002476,O0027012,S0037,2024-05-12,Changed my mind,17.94,Completed
R0003108,O0032323,S0045,2025-10-14,Wrong item shipped,18.15,Completed
R0001131,O0013861,S0019,2025-12-28,Quality below expectation,36.41,Completed
R0002761,O0028980,S0040,2025-05-01,Wrong item shipped,39.08,Rejected
R0003722,O0037542,S0052,2025-05-20,Quality below expectation,54.73,Complete
R0001140,O0013997,S0020,2024-06-11,Size/fit issue,33.54,Completed
R0003367,O0034804,S0049,2024-09-18,Counterfeit suspected,54.15,Complete
R0001721,O0018912,S0027,2024-06-01,Missing parts/accessories,26.49,Completed
R0004311,O0042131,S0059,2024-10-29,Wrong item shipped,34.74,Completed
R0001214,O0014843,S0021,2025-06-03,Item not as described,22.9,Completed
R0000419,O0005072,S0009,2024-01-22,Counterfeit suspected,61.53,Complete
R0001002,O0012370,S0018,2024-05-08,Quality below expectation,71.66,Pending
R0002111,O0024001,S0033,2024-12-02,Wrong item shipped,19.49,Complete
R0001447,O0017158,S0024,2025-01-07,Wrong item shipped,38.36,Complete
R0002365,O0025852,S0035,2025-12-06,Wrong item shipped,54.53,Completed
R0004145,O0040806,S0057,2025-11-02,Counterfeit suspected,81.08,Completed
R0003173,O0032789,S0046,2024-09-11,Better price found elsewhere,11.9,Completed
R0002614,O0028362,S0039,2024-10-06,Item not as described,27.18,Completed
R0002237,O0024951,S0034,2025-05-18,Quality below expectation,54.36,Completed
R0002056,O0023430,S0032,2025-06-07,Better price found elsewhere,37.65,Pending
R0000372,O0004381,S0007,2024-12-20,Item not as described,100.98,Pending
R0000138,O0001636,S0003,2025-03-19,Changed my mind,48.55,Completed
R0000540,O0005932,S0010,2024-10-13,Changed my mind,14.73,Completed
R0002685,O0028647,S0040,2024-03-31,Missing parts/accessories,37.72,Completed
R0001666,O0018539,S0026,2025-03-31,Better price found elsewhere,31.63,Completed
R0002595,O0028276,S0039,2024-04-23,Wrong item shipped,27.35,Completed
R0000310,O0003899,S0006,2025-05-03,Better price found elsewhere,94.92,Complete
R0002813,O0029181,S0040,2026-01-06,Better price found elsewhere,21.03,Complete
R0001670,O0018563,S0026,2025-05-05,Changed my mind,50.35,Completed
R0002591,O0028246,S0039,2024-02-19,Damaged on arrival,34.54,Completed
R0001456,O0017363,S0024,2025-08-10,Changed my mind,27.78,Complete
R0001324,O0015553,S0022,2025-03-01,Missing parts/accessories,16.58,Completed
R0001951,O0021840,S0030,2025-01-01,Unknown,27.28,Pending
R0000911,O0011293,S0016,2025-10-15,Changed my mind,26.92,Completed
R0000135,O0001605,S0003,2025-02-25,Changed my mind,54.85,Pending
R0002715,O0028771,S0040,2024-08-19,Late delivery,14.24,Completed
R0003576,O0035841,S0050,2025-06-15,Item not as described,46.62,Completed
R0003543,O0035650,S0050,2025-01-14,Wrong item shipped,90.27,Complete
R0001234,O0014937,S0021,2025-11-13,Counterfeit suspected,55.8,Completed
R0003285,O0034413,S0048,2025-07-28,Changed my mind,44.76,Completed
R0002185,O0024620,S0034,2024-07-27,Quality below expectation,11.6,Completed
R0004201,O0041152,S0058,2024-07-31,Damaged on arrival,11.0,Complete
R0003132,O0032537,S0046,2024-04-14,Damaged on arrival,42.03,Completed
R0003517,O0035432,S0050,2024-05-24,Size/fit issue,36.92,Completed
R0002511,O0027245,S0037,2025-02-06,Damaged on arrival,18.07,Completed
R0000560,O0006047,S0010,2024-12-15,Size/fit issue,49.3,Completed
R0001962,O0022133,S0030,2025-09-05,Missing parts/accessories,43.08,Complete
R0002760,O0028979,S0040,2025-05-01,Wrong item shipped,53.21,Completed
R0003072,O0032004,S0045,2025-03-16,Quality below expectation,33.64,Completed
R0001199,O0014723,S0021,2024-12-11,Changed my mind,33.6,Completed
R0000094,O0001424,S0003,2024-11-04,Changed my mind,116.83,Completed
R0001422,O0016857,S0023,2025-12-16,Changed my mind,40.12,Completed
R0000527,O0005857,S0010,2024-08-05,Changed my mind,114.42,Completed
R0001092,O0013158,S0019,2024-09-09,Damaged on arrival,37.64,Complete
R0004343,O0042344,S0059,2025-06-23,Late delivery,30.49,Completed
R0003648,O0036256,S0051,2024-08-30,Changed my mind,56.27,Completed
R0003168,O0032753,S0046,2024-08-17,Missing parts/accessories,38.6,Completed
R0001369,O0016131,S0023,2024-06-01,Late delivery,35.6,Completed
R0000678,O0007529,S0012,2024-01-19,Changed my mind,55.36,Completed
R0002298,O0025198,S0035,2024-02-07,Damaged on arrival,55.02,Rejected
R0002368,O0025873,S0035,2026-01-07,Quality below expectation,74.72,Completed
R0001226,O0014913,S0021,2025-09-07,Item not as described,74.42,Completed
R0001428,O0016887,S0023,2026-01-11,Changed my mind,37.71,Complete
R0004245,O0041519,S0058,2025-04-14,Unknown,65.26,Completed
R0000308,O0003866,S0006,2025-03-31,Wrong item shipped,18.42,Complete
R0000459,O0005506,S0009,2025-11-15,Late delivery,32.42,Completed
R0002333,O0025566,S0035,2025-02-24,Item not as described,91.65,Completed
R0003374,O0034825,S0049,2024-10-13,Quality below expectation,17.49,Completed
R0002234,O0024922,S0034,2025-05-10,Counterfeit suspected,45.14,Completed
R0000258,O0003114,S0005,2025-08-07,Changed my mind,36.69,Completed
R0004208,O0041232,S0058,2024-10-06,Changed my mind,74.47,Completed
R0003469,O0035170,S0049,2025-08-15,Wrong item shipped,134.15,Completed
R0003382,O0034858,S0049,2024-10-28,Damaged on arrival,26.37,Completed
R0000424,O0005108,S0009,2024-03-09,Missing parts/accessories,24.15,Completed
R0000716,O0008346,S0012,2025-11-03,Changed my mind,62.26,Completed
R0000309,O0003874,S0006,2025-04-02,Size/fit issue,75.86,Completed
R0004095,O0040601,S0057,2025-04-12,Changed my mind,63.94,Completed
R0002315,O0025338,S0035,2024-06-16,Better price found elsewhere,52.96,Pending
R0000287,O0003596,S0006,2024-08-29,Changed my mind,39.91,Completed
R0003666,O0036368,S0051,2024-12-03,Changed my mind,33.16,Rejected
R0001367,O0016111,S0023,2024-05-09,Size/fit issue,55.64,Rejected
R0001612,O0018149,S0025,2025-10-10,Damaged on arrival,114.39,Completed
R0002617,O0028387,S0039,2024-11-20,Wrong item shipped,41.97,Completed
R0001019,O0012446,S0018,2024-07-12,Changed my mind,69.61,Complete
R0000178,O0001846,S0003,2025-09-10,Quality below expectation,27.6,Complete
R0002796,O0029145,S0040,2025-12-04,Quality below expectation,84.21,Pending
